"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","622","Auth API","setup","2026-04-03","passed","2026-04-03","","Auth/auth.setup.ts","",""
"","1264","@visual V-1 Product detail page visual regression","visual","2026-04-03","passed","2026-04-03","Visual checkout","UI/Visual/checkout.visual.spec.ts","",""
"","945","Auth UI","setup","2026-04-03","passed","2026-04-03","","Auth/auth.setup.ts","",""
"","3399","@visual Visual test for purchasing a product","visual","2026-04-03","passed","2026-04-03","Visual checkout","UI/Visual/checkout.visual.spec.ts","",""
